ID,name,information,weight,alias,birthDate,birthPlace,birthYear,debutTeam,draftYear,formerTeam,height,position,team
12400,Steven Means,Steven Means (born December 5 1989) is an American football defensive end for the Tampa Bay Buccaneers of the National Football League (NFL). He played college football for the University at Buffalo.,NULL,NULL,1989-07-31,Buffalo New York,1989-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2013-01-01T00:00:00+02:00,Tampa Bay Buccaneers,NULL,Defensive end,Tampa Bay Buccaneers
5,A. J. Davis (American football),A. J. Davis (born May 29 1983 in Durham North Carolina) is an American football cornerback drafted by the Detroit Lions in the fourth round of the 2007 NFL Draft. He played college football at North Carolina State.Davis has also been a member of the Cleveland Browns Kansas City Chiefs Indianapolis Colts and Houston Texans.,87.0912,NULL,5/29/1983,Durham North Carolina,1983-01-01T00:00:00+02:00,NULL,2007-01-01T00:00:00+02:00,{Cleveland Browns|Detroit Lions|Houston Texans|Indianapolis Colts|Kansas City Chiefs},1.778,Cornerback,NULL
9,A. J. Francis,Anthony Joseph Francis (born May 7 1990 in Washington D.C.) is an American football defensive tackle for the Miami Dolphins of the National Football League (NFL). He was originally signed by the Dolphins as an undrafted free agent in 2013. Francis played college football at Maryland.Francis has also been a member of the New England Patriots.,NULL,NULL,5/7/1990,Washington D.C.,1990-01-01T00:00:00+02:00,NULL,NULL,{Miami Dolphins|New England Patriots},NULL,Tackle (American and Canadian football),Miami Dolphins
10,A. J. Green,Adriel Jeremiah A. J. Green (born July 31 1988) is an American football wide receiver for the Cincinnati Bengals of the National Football League (NFL). Green played college football for the University of Georgia. He was selected fourth overall by the Bengals in the 2011 NFL Draft. In his first season with the Bengals Green made the 2012 Pro Bowl the first rookie receiver to make a Pro Bowl appearance since Anquan Boldin in 2003.,93.8952,Green Adriel Jeremiah,7/31/1988,Summerville South Carolina,1988-01-01T00:00:00+02:00,Cincinnati Bengals,2011-01-01T00:00:00+02:00,Cincinnati Bengals,1.9304,Wide receiver,Cincinnati Bengals
11,A. J. Hawk,Aaron James Hawk (born January 6 1984) is an American football linebacker for the Green Bay Packers of the National Football League (NFL). He played college football for Ohio State University where he earned All-American honors twice and was recognized as the top college linebacker. He was drafted by the Green Bay Packers fifth overall in the 2006 NFL Draft and was a member of the Packers' Super Bowl XLV championship team.,112.0392,Hawk Aaron James,1/6/1984,Kettering Ohio,1984-01-01T00:00:00+02:00,Green Bay Packers,2006-01-01T00:00:00+02:00,Green Bay Packers,1.8542,Linebacker,Green Bay Packers
13,A. J. Jenkins,Alfred Alonzo A. J. Jenkins (born September 8 1989) is an American football wide receiver for the Kansas City Chiefs of the National Football League (NFL). He played college football for the University of Illinois. He was drafted in the first round of the 2012 NFL Draft 30th overall by the San Francisco 49ers.,90.72,NULL,1989-09-08,Jacksonville Florida,1989-01-01T00:00:00+02:00,San Francisco 49ers,2012-01-01T00:00:00+02:00,{San Francisco 49ers|Kansas City Chiefs},NULL,NULL,Kansas City Chiefs
16,A. J. Klein,A. J. Klein (born July 30 1991) is an American football linebacker for the Carolina Panthers of the National Football League (NFL). He was drafted by the Panthers in the fifth round of the 2013 NFL Draft. He played college football at Iowa State.,NULL,NULL,7/30/1991,Appleton Wisconsin,1991-01-01T00:00:00+02:00,Carolina Panthers,2013-01-01T00:00:00+02:00,Carolina Panthers,NULL,NULL,Carolina Panthers
17,A. J. Nicholson,A.J. Nicholson (born June 25 1983) is an American football linebacker who has played in the NFL the Arena Football League and the Indoor Football League. He was drafted by the Cincinnati Bengals in the fifth round of the 2006 NFL Draft. He played college football at Florida State.He has also been a member of the Orlando Predators Green Bay Blizzard and Florida Tuskers.,108.864,NULL,6/25/1983,Washington D.C.,1983-01-01T00:00:00+02:00,Cincinnati Bengals,2006-01-01T00:00:00+02:00,{Cincinnati Bengals|Orlando Predators|Texas Revolution|Virginia Destroyers|Green Bay Blizzard},1.8542,Linebacker,NULL
19,A. J. Schable,Andrew Joel A. J. Schable (born May 18 1984 in Ida Grove Iowa) is an American football defensive end who is currently a free agent. He was signed by the Arizona Cardinals as an undrafted free agent in 2006. He played college football at South Dakota.Schable has also been a member of the Philadelphia Eagles New York Jets Sacramento Mountain Lions.,123.8328,NULL,5/18/1984,NULL,1984-01-01T00:00:00+02:00,Arizona Cardinals,NULL,{Arizona Cardinals|New York Jets|Philadelphia Eagles|Seattle Seahawks|Sacramento Mountain Lions},1.9304,Defensive end,NULL
22,A. Q. Shipley,Allan Quay A. Q. Shipley (born May 22 1986) is an American football center for the Baltimore Ravens of the National Football League. He was drafted by the Pittsburgh Steelers in the seventh round of the 2009 NFL Draft. He played college football for Penn State.Shipley has also been a member of the Philadelphia Eagles and Indianapolis Colts.,140.1624,NULL,5/22/1986,Coraopolis Pennsylvania,1986-01-01T00:00:00+02:00,Indianapolis Colts,2009-01-01T00:00:00+02:00,{Baltimore Ravens|Indianapolis Colts|Philadelphia Eagles|Pittsburgh Steelers|Scout team},1.8542,NULL,Baltimore Ravens
